trip_id,start_time,end_time,headway_secs,exact_times
A02,06:00:00,23:30:00,420,1
A03,08:00:00,22:08:00,480,1
A11,05:30:00,06:26:00,336,1
A11,06:26:00,07:22:00,240,1
A11,07:22:00,10:07:00,174,1
A11,10:07:00,15:43:00,198,1
A11,15:43:00,19:23:00,174,1
A11,19:23:00,21:15:00,240,1
A11,21:15:00,23:00:00,336,1
A12,06:00:00,23:30:00,420,1
A13,08:00:00,22:08:00,480,1
B01,05:30:00,06:08:00,360,1
B01,06:08:00,07:10:00,230,1
B01,07:10:00,10:16:00,170,1
B01,10:16:00,15:26:00,220,1
B01,15:26:00,19:34:00,170,1
B01,19:34:00,20:37:00,230,1
B01,20:37:00,23:00:00,360,1
B02,06:00:00,23:22:00,420,1
B03,08:00:00,22:00:00,485,1
B11,05:30:00,06:08:00,360,1
B11,06:08:00,07:10:00,230,1
B11,07:10:00,10:16:00,170,1
B11,10:16:00,15:26:00,220,1
B11,15:26:00,19:34:00,170,1
B11,19:34:00,20:37:00,230,1
B11,20:37:00,23:00:00,360,1
B12,06:00:00,23:22:00,420,1
B13,08:00:00,22:00:00,485,1
C01,05:30:00,05:58:30,244,1
C01,05:58:30,06:27:00,214,1
C01,06:27:00,09:53:30,177,1
C01,09:53:30,16:46:30,221,1
C01,16:46:30,19:43:30,177,1
C01,19:43:30,21:37:30,244,1
C01,21:37:30,23:15:00,285,1
C02,06:00:00,23:45:00,360,1
C03,08:00:00,22:21:15,450,1
C11,05:30:00,05:58:30,244,1
C11,05:58:30,06:27:00,214,1
C11,06:27:00,09:53:30,177,1
C11,09:53:30,16:46:30,221,1
C11,16:46:30,19:43:30,177,1
C11,19:43:30,21:37:30,244,1
C11,21:37:30,23:15:00,285,1
C12,06:00:00,23:45:00,360,1
C13,08:00:00,22:21:15,450,1
D01,05:30:00,06:06:30,327,1
D01,06:06:30,07:04:15,231,1
D01,07:04:15,09:57:30,165,1
D01,09:57:30,15:44:00,204,1
D01,15:44:00,19:35:00,165,1
D01,19:35:00,21:30:30,231,1
D01,21:30:30,23:00:00,327,1
D02,06:00:00,23:24:00,420,1
D03,08:00:00,22:00:00,420,1
D11,05:30:00,06:06:30,327,1
D11,06:06:30,07:04:15,231,1
D11,07:04:15,09:57:30,165,1
D11,09:57:30,15:44:00,204,1
D11,15:44:00,19:35:00,165,1
D11,19:35:00,21:30:30,231,1
D11,21:30:30,23:00:00,327,1
D12,06:00:00,23:24:00,420,1
D13,08:00:00,22:00:00,420,1
E01,05:30:00,06:39:00,414,1
E01,06:39:00,10:01:30,270,1
E01,10:01:30,15:46:30,376,1
E01,15:46:30,20:16:30,270,1
E01,20:16:30,23:01:00,414,1
E02,06:00:00,23:36:15,515,1
A01,05:30:00,06:26:00,336,1
A01,06:26:00,07:22:00,240,1
A01,07:22:00,10:07:00,174,1
A01,10:07:00,15:43:00,198,1
A01,15:43:00,19:23:00,174,1
A01,19:23:00,21:15:00,240,1
A01,21:15:00,23:00:00,336,1
E03,08:00:00,22:02:15,515,1
E11,05:30:00,06:39:00,414,1
E11,06:39:00,10:01:30,270,1
E11,10:01:30,15:46:30,376,1
E11,15:46:30,20:16:30,270,1
E11,20:16:30,23:01:00,414,1
E12,06:00:00,23:36:15,515,1
E13,08:00:00,22:02:15,515,1
H01,05:30:00,06:58:00,330,1
H01,06:58:00,10:29:00,180,1
H01,10:29:00,16:03:00,229,1
H01,16:03:00,20:14:00,180,1
H01,20:14:00,23:30:00,330,1
H02,06:00:00,24:00:00,443,1
H03,08:00:00,22:29:59,440,1
H11,05:30:00,06:58:00,330,1
H11,06:58:00,10:29:00,180,1
H11,10:29:00,16:03:00,229,1
H11,16:03:00,20:14:00,180,1
H11,20:14:00,23:30:00,330,1
H12,06:00:00,24:00:00,443,1
H13,08:00:00,22:29:59,440,1
P1-01,05:30:00,06:28:00,870,1
P1-01,06:28:00,09:28:00,900,1
P1-01,09:28:00,14:18:00,870,1
P1-01,14:18:00,16:14:00,870,1
