pathway_id,from_stop_id,to_stop_id,pathway_mode,signposted_as,reversed_signposted_as,is_bidirectional
A01C01,1073S,1098E,1,"A Constitucion","A San Pedrito",1
A01C11,1073S,1098O,1,"A Retiro","A San Pedrito",1
A01D01,1075S,1118S,2,"A Congreso de Tucuman","A San Pedrito",1
A01D11,1075S,1118N,2,"A Catedral","A San Pedrito",1
A01E01,1075S,1119S,2,"A Plaza de los Virreyes","A San Pedrito",1
A01E11,1075S,1119N,2,"A Retiro","A San Pedrito",1
A01H01,1068S,1140E,1,"A Hospitales","A San Pedrito",1
A01H11,1068S,1140O,1,"A Facultad de Derecho","A San Pedrito",1
A11C01,1073N,1098E,1,"A Constitucion","A Plaza de Mayo",1
A11C11,1073N,1098O,1,"A Retiro","A Plaza de Mayo",1
A11D01,1075N,1118S,2,"A Congreso de Tucuman","A Plaza de Mayo",1
A11D11,1075N,1118N,2,"A Catedral","A Plaza de Mayo",1
A11E01,1075N,1119S,2,"A Plaza de los Virreyes","A Plaza de Mayo",1
A11E11,1075N,1119N,2,"A Retiro","A Plaza de Mayo",1
A11H01,1068N,1140E,1,"A Hospitales","A Plaza de Mayo",1
A11H11,1068N,1140O,1,"A Facultad de Derecho","A Plaza de Mayo",1
B01C01,1091S,1099E,1,"A Constitucion","A J.M.de Rosas",1
B01C11,1091S,1099O,1,"A Retiro","A J.M.de Rosas",1
B01D01,1091S,1117S,1,"A Congreso de Tucuman","A J.M.de Rosas",1
B01D11,1091S,1117N,1,"A Catedral","A J.M.de Rosas",1
B01E01,1093S,1166S,1,"A Plaza de los Virreyes","A J.M.de Rosas",1
B01E11,1093S,1166N,1,"A Retiro","A J.M. de Rosas",1
B01H01,1087S,1141E,1,"A Hospitales","A J.M.de Rosas",1
B01H11,1087S,1141O,1,"A Facultad de Derecho","A J.M.de Rosas",1
B11C01,1091N,1099E,1,"A Constitucion","A L.N.Alem",1
B11C11,1091N,1099O,1,"A Retiro","A L.N.Alem",1
B11D01,1091N,1117S,1,"A Congreso de Tucuman","A L.N.Alem",1
B11D11,1091N,1117N,1,"A Catedral","A L.N.Alem",1
B11E01,1093N,1166S,1,"A Plaza de los Virreyes","A L.N. Alem",1
B11E11,1093N,1166N,1,"A Retiro","A L.N. Alem",1
B11H01,1087N,1141E,1,"A Hospitales","A L.N.Alem",1
B11H11,1087N,1141O,1,"A Facultad de Derecho","A L.N.Alem",1
C01D01,1099E,1117S,1,"A Congreso de Tucuman","A Constitucion",1
C01D11,1099E,1117N,1,"A Catedral","A Constitucion",1
C01E01,1096E,1121S,1,"A Plaza de los Virreyes","A Constitucion",1
C01E11,1096E,1121N,1,"A Retiro","A Constitucion",1
C02E02,1102E,1164S,1,"A Plaza de los Virreyes","A Constitucion",1
C02E12,1102E,1164N,1,"A Retiro","A Constitucion",1
C11D01,1099O,1117S,1,"A Congreso de Tucuman","A Retiro",1
C11D11,1099O,1117N,1,"A Catedral","A Retiro",1
C11E01,1096O,1121S,1,"A Plaza de los Virreyes","A Retiro",1
C11E11,1096O,1121N,1,"A Retiro","A Retiro",1
C12E02,1102O,1164S,1,"A Plaza de los Virreyes","A Retiro",1
C12E12,1102O,1164N,1,"A Retiro","A Retiro",1
D01E01,1118S,1119S,2,"A Plaza de los Virreyes","A Congreso de Tucuman",1
D01E11,1118S,1119N,2,"A Retiro","A Congreso de Tucuman",1
D01H01,1113S,1161E,1,"A Hospitales","A Congreso de Tucuman",1
D01H11,1113S,1161O,1,"A Facultad de Derecho","A Congreso de Tucuman",1
D11E01,1118N,1119S,2,"A Plaza de los Virreyes","A Catedral",1
D11E11,1118N,1119N,2,"A Retiro","A Catedral",1
D11H01,1113N,1161E,1,"A Hospitales","A Catedral",1
D11H11,1113N,1161O,1,"A Facultad de Derecho","A Catedral",1
E01H01,1125S,1138E,1,"A Hospitales","A Plaza de los Virreyes",1
E01H11,1125S,1138O,1,"A Facultad de Derecho","A Plaza de los Virreyes",1
E11H01,1125N,1138E,1,"A Hospitales","A Retiro",1
E11H11,1125N,1138O,1,"A Facultad de Derecho","A Retiro",1
PWY_9DJ_1,1117N,11171,4,,,0
PWY_9DJ_10,1117N,10993,2,,,1
PWY_9DJ_11,1117N,10993,2,,,1
PWY_9DJ_12,1117N,10993,4,,,0
PWY_9DJ_13,10993,1117N,4,,,0
PWY_9DJ_2,1117N,11173,2,,,1
PWY_9DJ_3,1117N,11175,2,,,1
PWY_9DJ_4,1117N,11176,2,,,1
PWY_9DJ_5,1117S,11175,2,,,1
PWY_9DJ_6,1117S,11176,2,,,1
PWY_9DJ_7,1117S,11177,2,,,1
PWY_9DJ_8,1117S,11178,2,,,1
PWY_9DJ_9,1117N,11178,2,,,1
PWY_ACO_1,1064N,10641,2,,,1
PWY_ACO_2,1064N,10643,2,,,1
PWY_ACO_3,1064N,10645,5,,,1
PWY_ACO_4,1064S,10642,4,,,0
PWY_ACO_5,1064S,10644,2,,,1
PWY_ACO_6,1064S,10646,5,,,1
PWY_ACO_7,10642,1064S,4,,,0
PWY_AGA_1,1083N,10831,2,,,1
PWY_AGA_2,1083N,10833,2,,,1
PWY_AGA_3,1083S,10832,4,,,0
PWY_AGA_4,1083S,10834,2,,,1
PWY_AGU_1,1112N,11121,4,,,0
PWY_AGU_2,1112N,11122,2,,,1
PWY_AGU_3,1112N,11123,2,,,1
PWY_AGU_4,1112N,11124,2,,,1
PWY_AGU_5,1112S,11121,4,,,0
PWY_AGU_6,1112S,11122,2,,,1
PWY_AGU_7,1112S,11123,2,,,1
PWY_AGU_8,1112S,11124,2,,,1
