shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
A0,-34.6088132176,-58.370865583400004,1
A0,-34.6085394761,-58.3720564842,2
A0,-34.6084798709,-58.372567445,3
A0,-34.6084776633,-58.37313205,4
A0,-34.6085041545,-58.3735477924,5
A0,-34.6086807621,-58.3760154247,6
A0,-34.608848539,-58.378375768699996,7
A0,-34.609007485300005,-58.3807253838,8
A0,-34.609184091799996,-58.3835148811,9
A0,-34.6093253768,-58.3851141483,10
A0,-34.6093960192,-58.3857223392,11
A0,-34.6094313404,-58.386400938,12
A0,-34.6094445858,-58.387465775,13
A0,-34.6090869582,-58.388890028,14
A0,-34.609184091799996,-58.390928506899996,15
A0,-34.6092635646,-58.3929777145,16
A0,-34.609378358600004,-58.394844532,17
A0,-34.609590285500005,-58.3975160122,18
A0,-34.609775721,-58.4002196789,19
A0,-34.6099346655,-58.4029448032,20
A0,-34.6100340056,-58.4055411816,21
A0,-34.6097183244,-58.4066194296,22
A0,-34.6094909448,-58.40746700760001,23
A0,-34.6094197506,-58.407683596000005,24
A0,-34.6094412744,-58.407948464200004,25
A0,-34.6095770401,-58.408408463,26
A0,-34.6098927218,-58.409229219,27
A0,-34.610177496700004,-58.4102806449,28
A0,-34.6103496857,-58.4115439653,29
A0,-34.610638874,-58.4130969644,30
A0,-34.610720553,-58.4144675732,31
A0,-34.6107845716,-58.414966463999995,32
A0,-34.6108817032,-58.4158220887,33
A0,-34.610903778499996,-58.4164685011,34
A0,-34.6109148162,-58.4169667214,35
A0,-34.6109241982,-58.4171135724,36
A0,-34.610937443400005,-58.4173133969,37
A0,-34.6109528961,-58.4174850583,38
A0,-34.6109600706,-58.417590335,39
A0,-34.6109815941,-58.4178699553,40
A0,-34.6110036694,-58.418166339399995,41
A0,-34.611011947600005,-58.4182984382,42
A0,-34.6110279522,-58.41849759220001,43
A0,-34.6110555463,-58.4188429266,44
A0,-34.6110765179,-58.4191010892,45
A0,-34.6111008007,-58.419390097299996,46
A0,-34.6111267391,-58.4197186679,47
A0,-34.6111532295,-58.4198340029,48
A0,-34.611183031100005,-58.419958725600004,49
A0,-34.611226077800005,-58.4201525152,50
A0,-34.6112740915,-58.420359045299996,51
A0,-34.6113303834,-58.4206111729,52
A0,-34.6113496992,-58.4206916392,53
A0,-34.6114076466,-58.4208619595,54
A0,-34.6114468301,-58.4209772944,55
A0,-34.6114672496,-58.421038985299994,56
A0,-34.6115235414,-58.42120528220001,57
A0,-34.6115919744,-58.4213548154,58
A0,-34.6116769637,-58.421539887799995,59
A0,-34.611756985999996,-58.4217142314,60
A0,-34.6118276263,-58.4218664467,61
A0,-34.611896611,-58.4220179915,62
A0,-34.6119495911,-58.4221353382,63
A0,-34.6120246463,-58.4222996235,64
A0,-34.6120798339,-58.4224169701,65
A0,-34.6122034539,-58.4226737916,66
A0,-34.6122994801,-58.4228776395,67
A0,-34.6123993693,-58.4230841696,68
A0,-34.6125825911,-58.4234704077,69
A0,-34.6127194553,-58.423785567299994,70
A0,-34.6129004689,-58.4242120385,71
A0,-34.6130196728,-58.4244936705,72
A0,-34.6131289429,-58.4247578681,73
A0,-34.6132514576,-58.42504486439999,74
A0,-34.6133805946,-58.425343930699995,75
A0,-34.6135119389,-58.4256483614,76
A0,-34.61366315,-58.4259916842,77
A0,-34.613773523,-58.4262424707,78
A0,-34.613873962199996,-58.426466435200005,79
A0,-34.6139898536,-58.4267252684,80
A0,-34.6141465825,-58.4270806611,81
A0,-34.6142955851,-58.4274172783,82
A0,-34.6144158907,-58.4276868403,83
A0,-34.6146752645,-58.428278267399996,84
A0,-34.6149313264,-58.4288562834,85
A0,-34.6151035055,-58.429247885900004,86
A0,-34.6153330771,-58.4297628701,87
A0,-34.6154544849,-58.4300324321,88
A0,-34.6155792037,-58.430328816199996,89
A0,-34.6156928852,-58.4305970371,90
A0,-34.6158562331,-58.43100205060001,91
A0,-34.6161376764,-58.4316310287,92
A0,-34.6164312594,-58.4322398901,93
A0,-34.616651997800005,-58.4326770902,94
A0,-34.616762366799996,-58.4329238534,95
A0,-34.6169058462,-58.4332591295,96
A0,-34.6172060486,-58.433951139499996,97
A0,-34.6174179555,-58.434498310100004,98
A0,-34.6175857147,-58.434895276999995,99
A0,-34.6183273831,-58.4364402294,100
A0,-34.618808580999996,-58.4376364946,101
A0,-34.6190469717,-58.4381246567,102
A0,-34.6197709686,-58.439766168599995,103
A0,-34.6205435193,-58.441482782399994,104
A0,-34.621130653099996,-58.442893624300005,105
A0,-34.6214396692,-58.4437251091,106
A0,-34.6219694084,-58.4447604418,107
A0,-34.6223667105,-58.445688486099996,108
A0,-34.624105988800004,-58.4500980377,109
A0,-34.6256510024,-58.4540945292,110
A0,-34.6266927667,-58.456751257200004,111
A0,-34.6271253599,-58.4578201175,112
A0,-34.6275667793,-58.4588809311,113
A0,-34.6279226719,-58.4597270004,114
A0,-34.62819028,-58.460455052600004,115
A0,-34.628413746,-58.4611026384,116
A0,-34.6285930701,-58.4617073089,117
A0,-34.628966476799995,-58.4632180212,118
A0,-34.629119177199996,-58.4637309518,119
A0,-34.6296717653,-58.465497102600004,120
A0,-34.629761701999996,-58.4659073129,121
A0,-34.6302017279,-58.4677136969,122
