trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
A01,12:00:00,12:00:24,1076S,1,,
A01,12:00:58,12:01:22,1075S,2,,
A01,12:02:06,12:02:30,1074S,3,,
A01,12:03:15,12:03:39,1073S,4,,
A01,12:04:25,12:04:49,1072S,5,,
A01,12:05:57,12:06:21,1071S,6,,
A01,12:07:51,12:08:15,1069S,7,,
A01,12:09:07,12:09:31,1068S,8,,
A01,12:11:24,12:11:48,1067S,9,,
A01,12:13:03,12:13:27,1066S,10,,
A01,12:15:03,12:15:27,1065S,11,,
A01,12:16:50,12:17:14,1064S,12,,
A01,12:18:23,12:18:47,1063S,13,,
A01,12:20:19,12:20:43,1062S,14,,
A01,12:22:12,12:22:36,1061S,15,,
A01,12:24:08,12:24:32,1060S,16,,
A01,12:25:53,12:26:17,1059S,17,,
A02,12:00:00,12:00:24,1076S,1,,
A02,12:00:58,12:01:22,1075S,2,,
A02,12:02:06,12:02:30,1074S,3,,
A02,12:03:15,12:03:39,1073S,4,,
A02,12:04:25,12:04:49,1072S,5,,
A02,12:05:57,12:06:21,1071S,6,,
A02,12:07:51,12:08:15,1069S,7,,
A02,12:09:07,12:09:31,1068S,8,,
A02,12:11:24,12:11:48,1067S,9,,
A02,12:13:03,12:13:27,1066S,10,,
A02,12:15:03,12:15:27,1065S,11,,
A02,12:16:50,12:17:14,1064S,12,,
A02,12:18:23,12:18:47,1063S,13,,
A02,12:20:19,12:20:43,1062S,14,,
A02,12:22:12,12:22:36,1061S,15,,
A02,12:24:08,12:24:32,1060S,16,,
A02,12:25:53,12:26:17,1059S,17,,
A03,12:00:00,12:00:24,1076S,1,,
A03,12:00:58,12:01:22,1075S,2,,
A03,12:02:06,12:02:30,1074S,3,,
A03,12:03:15,12:03:39,1073S,4,,
A03,12:04:25,12:04:49,1072S,5,,
A03,12:05:57,12:06:21,1071S,6,,
A03,12:07:51,12:08:15,1069S,7,,
A03,12:09:07,12:09:31,1068S,8,,
A03,12:11:24,12:11:48,1067S,9,,
A03,12:13:03,12:13:27,1066S,10,,
A03,12:15:03,12:15:27,1065S,11,,
A03,12:16:50,12:17:14,1064S,12,,
A03,12:18:23,12:18:47,1063S,13,,
A03,12:20:19,12:20:43,1062S,14,,
A03,12:22:12,12:22:36,1061S,15,,
A03,12:24:08,12:24:32,1060S,16,,
A03,12:25:53,12:26:17,1059S,17,,
A11,12:00:00,12:00:24,1059N,1,,
A11,12:01:45,12:02:09,1060N,2,,
A11,12:03:41,12:04:05,1061N,3,,
A11,12:05:34,12:05:58,1062N,4,,
A11,12:07:30,12:07:54,1063N,5,,
A11,12:09:03,12:09:27,1064N,6,,
A11,12:10:50,12:11:14,1065N,7,,
A11,12:12:50,12:13:14,1066N,8,,
A11,12:14:29,12:14:53,1067N,9,,
A11,12:16:46,12:17:10,1068N,10,,
A11,12:18:29,12:18:53,1070N,11,,
A11,12:19:56,12:20:20,1071N,12,,
A11,12:21:28,12:21:52,1072N,13,,
A11,12:22:38,12:23:02,1073N,14,,
A11,12:23:47,12:24:11,1074N,15,,
A11,12:24:55,12:25:19,1075N,16,,
A11,12:25:53,12:26:17,1076N,17,,
A12,12:00:00,12:00:24,1059N,1,,
A12,12:01:45,12:02:09,1060N,2,,
A12,12:03:41,12:04:05,1061N,3,,
A12,12:05:34,12:05:58,1062N,4,,
A12,12:07:30,12:07:54,1063N,5,,
A12,12:09:03,12:09:27,1064N,6,,
A12,12:10:50,12:11:14,1065N,7,,
A12,12:12:50,12:13:14,1066N,8,,
A12,12:14:29,12:14:53,1067N,9,,
A12,12:16:46,12:17:10,1068N,10,,
A12,12:18:29,12:18:53,1070N,11,,
A12,12:19:56,12:20:20,1071N,12,,
A12,12:21:28,12:21:52,1072N,13,,
A12,12:22:38,12:23:02,1073N,14,,
A12,12:23:47,12:24:11,1074N,15,,
A12,12:24:55,12:25:19,1075N,16,,
A12,12:25:53,12:26:17,1076N,17,,
A13,12:00:00,12:00:24,1059N,1,,
A13,12:01:45,12:02:09,1060N,2,,
A13,12:03:41,12:04:05,1061N,3,,
A13,12:05:34,12:05:58,1062N,4,,
A13,12:07:30,12:07:54,1063N,5,,
A13,12:09:03,12:09:27,1064N,6,,
A13,12:10:50,12:11:14,1065N,7,,
A13,12:12:50,12:13:14,1066N,8,,
A13,12:14:29,12:14:53,1067N,9,,
A13,12:16:46,12:17:10,1068N,10,,
A13,12:18:29,12:18:53,1070N,11,,
A13,12:19:56,12:20:20,1071N,12,,
A13,12:21:28,12:21:52,1072N,13,,
A13,12:22:38,12:23:02,1073N,14,,
A13,12:23:47,12:24:11,1074N,15,,
A13,12:24:55,12:25:19,1075N,16,,
A13,12:25:53,12:26:17,1076N,17,,
B01,12:00:00,12:00:24,1093S,1,,
B01,12:01:07,12:01:31,1092S,2,,
B01,12:02:36,12:03:00,1091S,3,,
B01,12:03:55,12:04:19,1090S,4,,
B01,12:05:14,12:05:38,1089S,5,,
B01,12:06:40,12:07:04,1088S,6,,
B01,12:08:00,12:08:24,1087S,7,,
B01,12:09:28,12:09:52,1086S,8,,
B01,12:11:25,12:11:49,1085S,9,,
B01,12:13:22,12:13:46,1083S,10,,
B01,12:15:18,12:15:42,1084S,11,,
B01,12:17:36,12:18:00,1082S,12,,
B01,12:19:19,12:19:43,1081S,13,,
B01,12:21:40,12:22:04,1080S,14,,
B01,12:23:19,12:23:43,1079S,15,,
B01,12:25:14,12:25:38,1078S,16,,
B01,12:26:51,12:27:15,1077S,17,,
B02,12:00:00,12:00:24,1093S,1,,
B02,12:01:07,12:01:31,1092S,2,,
B02,12:02:36,12:03:00,1091S,3,,
B02,12:03:55,12:04:19,1090S,4,,
B02,12:05:14,12:05:38,1089S,5,,
B02,12:06:40,12:07:04,1088S,6,,
B02,12:08:00,12:08:24,1087S,7,,
B02,12:09:28,12:09:52,1086S,8,,
B02,12:11:25,12:11:49,1085S,9,,
B02,12:13:22,12:13:46,1083S,10,,
B02,12:15:18,12:15:42,1084S,11,,
B02,12:17:36,12:18:00,1082S,12,,
B02,12:19:19,12:19:43,1081S,13,,
B02,12:21:40,12:22:04,1080S,14,,
B02,12:23:19,12:23:43,1079S,15,,
B02,12:25:14,12:25:38,1078S,16,,
B02,12:26:51,12:27:15,1077S,17,,
B03,12:00:00,12:00:24,1093S,1,,
B03,12:01:07,12:01:31,1092S,2,,
B03,12:02:36,12:03:00,1091S,3,,
B03,12:03:55,12:04:19,1090S,4,,
B03,12:05:14,12:05:38,1089S,5,,
B03,12:06:40,12:07:04,1088S,6,,
B03,12:08:00,12:08:24,1087S,7,,
B03,12:09:28,12:09:52,1086S,8,,
B03,12:11:25,12:11:49,1085S,9,,
B03,12:13:22,12:13:46,1083S,10,,
B03,12:15:18,12:15:42,1084S,11,,
B03,12:17:36,12:18:00,1082S,12,,
B03,12:19:19,12:19:43,1081S,13,,
B03,12:21:40,12:22:04,1080S,14,,
B03,12:23:19,12:23:43,1079S,15,,
B03,12:25:14,12:25:38,1078S,16,,
B03,12:26:51,12:27:15,1077S,17,,
B11,12:00:00,12:00:24,1077N,1,,
B11,12:01:37,12:02:01,1078N,2,,
B11,12:03:32,12:03:56,1079N,3,,
B11,12:05:11,12:05:35,1080N,4,,
B11,12:07:32,12:07:56,1081N,5,,
B11,12:09:15,12:09:39,1082N,6,,
B11,12:11:33,12:11:57,1084N,7,,
B11,12:13:29,12:13:53,1083N,8,,
B11,12:15:26,12:15:50,1085N,9,,
B11,12:17:23,12:17:47,1086N,10,,
B11,12:18:51,12:19:15,1087N,11,,
B11,12:20:11,12:20:35,1088N,12,,
B11,12:21:37,12:22:01,1089N,13,,
B11,12:22:56,12:23:20,1090N,14,,
B11,12:24:15,12:24:39,1091N,15,,
B11,12:25:44,12:26:08,1092N,16,,
B11,12:26:51,12:27:15,1093N,17,,
B12,12:00:00,12:00:24,1077N,1,,
B12,12:01:37,12:02:01,1078N,2,,
B12,12:03:32,12:03:56,1079N,3,,
B12,12:05:11,12:05:35,1080N,4,,
B12,12:07:32,12:07:56,1081N,5,,
B12,12:09:15,12:09:39,1082N,6,,
B12,12:11:33,12:11:57,1084N,7,,
B12,12:13:29,12:13:53,1083N,8,,
B12,12:15:26,12:15:50,1085N,9,,
B12,12:17:23,12:17:47,1086N,10,,
B12,12:18:51,12:19:15,1087N,11,,
B12,12:20:11,12:20:35,1088N,12,,
B12,12:21:37,12:22:01,1089N,13,,
B12,12:22:56,12:23:20,1090N,14,,
B12,12:24:15,12:24:39,1091N,15,,
B12,12:25:44,12:26:08,1092N,16,,
B12,12:26:51,12:27:15,1093N,17,,
B13,12:00:00,12:00:24,1077N,1,,
B13,12:01:37,12:02:01,1078N,2,,
B13,12:03:32,12:03:56,1079N,3,,
B13,12:05:11,12:05:35,1080N,4,,
B13,12:07:32,12:07:56,1081N,5,,
B13,12:09:15,12:09:39,1082N,6,,
B13,12:11:33,12:11:57,1084N,7,,
B13,12:13:29,12:13:53,1083N,8,,
B13,12:15:26,12:15:50,1085N,9,,
B13,12:17:23,12:17:47,1086N,10,,
B13,12:18:51,12:19:15,1087N,11,,
B13,12:20:11,12:20:35,1088N,12,,
B13,12:21:37,12:22:01,1089N,13,,
B13,12:22:56,12:23:20,1090N,14,,
B13,12:24:15,12:24:39,1091N,15,,
B13,12:25:44,12:26:08,1092N,16,,
B13,12:26:51,12:27:15,1093N,17,,
C01,12:00:00,12:00:24,1102E,1,,
C01,12:01:18,12:01:42,1101E,2,,
C01,12:03:33,12:03:57,1100E,3,,
C01,12:04:54,12:05:18,1099E,4,,
C01,12:06:34,12:06:58,1098E,5,,
C01,12:07:52,12:08:16,1097E,6,,
C01,12:09:41,12:10:05,1096E,7,,
C01,12:11:16,12:11:40,1095E,8,,
C01,12:12:55,12:13:19,1094E,9,,
C02,12:00:00,12:00:24,1102E,1,,
C02,12:01:18,12:01:42,1101E,2,,
C02,12:03:33,12:03:57,1100E,3,,
C02,12:04:54,12:05:18,1099E,4,,
