stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
11143,,F.Medicina a Catedral y C.Tucumán - Córdoba 2125,Vestíbulo intermedio - Escalera pedestre,-34.599683118106,-58.397604384784,,,2,1114
11146,,F.Medicina a Catedral y C.Tucumán - Córdoba 2124,Vestíbulo intermedio - Escalera pedestre,-34.599879721076,-58.397657130187994,,,2,1114
11144,,F.Medicina a Catedral y C.Tucumán - Córdoba 2150,Vestíbulo intermedio - Escalera pedestre,-34.599882811796,-58.398018558274,,,2,1114
11142,,F.Medicina a Catedral y C.Tucumán - Córdoba 2156,Andén a C. de Tucumán - Ascensor - Accesible,-34.599857187272,-58.398338044014,,,2,1114
1164S,,Retiro,,-34.59210278,-58.37609722,4.0,,0,1164
1165N,,Catalinas,,-34.59655556,-58.37205278,4.0,,0,1165
1165S,,Catalinas,,-34.59646111,-58.37195,4.0,,0,1165
1166N,,Correo Central,,-34.60362222,-58.37019444,4.0,,0,1166
1166S,,Correo Central,,-34.60342778,-58.37005833,4.0,,0,1166
11641,,Retiro a Virreyes - Av. Ramos Mejía 1301,Vestíbulo intermedio - Escalera pedestre,-34.59261111,-58.37544722,,,2,1164
11643,,Retiro a Virreyes - Av. Del Libertador 125,Salida únicamente - Escalera mecánica,-34.59254167,-58.37572222,,,2,1164
11645,,Retiro a Virreyes - Av. Del Libertador 145,Vestíbulo intermedio - Ascensor - Accesible,-34.59233889,-58.375925,,,2,1164
11647,,Retiro a Virreyes - Av. Del Libertador 185,Vestíbulo intermedio - Escalera pedestre,-34.59200278,-58.37624167,,,2,1164
11642,,Retiro a Virreyes - Juncal 600,Escalera pedestre y mecánica,-34.59289722,-58.37621389,,,2,1164
11644,,Retiro a Virreyes - Basabilvaso 1363,Vestíbulo intermedio - Escalera pedestre,-34.59266389,-58.37682222,,,2,1164
11651,,Catalinas a Virreyes y Retiro - Av. Alem 951,Escalera pedestre y mecánica,-34.59678056,-58.37176389,,,2,1165
