from_stop_id,to_stop_id,transfer_type,min_transfer_time
1073N,1098O,2,132
1073N,1098E,2,180
1073S,1098E,2,168
1073S,1098O,2,150
1075N,1118N,2,145
1075N,1118S,2,136
1075S,1118S,2,154
1075S,1118N,2,161
1075N,1119N,2,170
1075N,1119S,2,170
1075S,1119S,2,132
1075S,1119N,2,132
1068N,1140O,2,178
1068N,1140E,2,178
1068S,1140E,2,148
1068S,1140O,2,148
1091N,1099E,2,258
1091N,1099O,2,228
1091S,1099O,2,228
1091S,1099E,2,258
1091N,1117N,2,96
1091N,1117S,2,114
1091S,1117S,2,114
1091S,1117N,2,96
1087N,1141E,2,96
1087N,1141O,2,96
1087S,1141O,2,124
1087S,1141E,2,124
1098O,1073N,2,150
1098O,1073S,2,162
1098E,1073S,2,180
1098E,1073N,2,192
1099O,1091N,2,228
1099O,1091S,2,228
1099E,1091S,2,258
1099E,1091N,2,258
1099O,1117N,2,66
1099O,1117S,2,48
1099E,1117S,2,78
1099E,1117N,2,96
1096E,1121N,2,125
1096E,1121S,2,125
1096O,1121S,2,112
1096O,1121N,2,112
1118N,1075N,2,145
1118N,1075S,2,161
1118S,1075S,2,154
1118S,1075N,2,136
1117N,1091N,2,90
1117N,1091S,2,90
1117S,1091S,2,108
1117S,1091N,2,108
1117N,1099O,2,66
1117N,1099E,2,90
1117S,1099E,2,78
1117S,1099O,2,42
1118N,1119N,2,222
1118N,1119S,2,222
1118S,1119S,2,218
1118S,1119N,2,218
1119N,1075N,2,174
1119N,1075S,2,135
1119S,1075S,2,135
1119S,1075N,2,174
1121N,1096E,2,127
1121N,1096O,2,114
1121S,1096O,2,114
1121S,1096E,2,127
1119N,1118N,2,222
1119N,1118S,2,218
1119S,1118S,2,218
1119S,1118N,2,222
1125N,1138E,2,132
1125N,1138O,2,126
1125S,1138O,2,150
1125S,1138E,2,156
1133N,1142N,2,60
1133N,1142S,2,60
1133S,1142S,2,60
1133S,1142N,2,60
1140O,1068N,2,148
1140O,1068S,2,187
1140E,1068S,2,187
1140E,1068N,2,148
1141O,1087N,2,101
1141O,1087S,2,130
1141E,1087S,2,130
1141E,1087N,2,101
1138O,1125N,2,126
1138O,1125S,2,150
1138E,1125S,2,156
1138E,1125N,2,132
1142N,1133N,2,60
1142N,1133S,2,60
1142S,1133S,2,60
1142S,1133N,2,60
1161O,1113N,2,86
1161O,1113S,2,86
1161E,1113S,2,139
1161E,1113N,2,139
1113N,1161O,2,72
1113S,1161O,2,72
1113S,1161E,2,109
1113N,1161E,2,109
1093N,1166N,2,58
1093N,1166S,2,58
1166N,1093S,2,64
1166S,1093S,2,64
1102O,1164N,2,180
1102O,1164S,2,180
1164N,1102E,2,180
1164S,1102E,2,180
